,Unnamed: 0,up_to_middle,not_highschool_grad,high_school_grad,some_college,associate,bachelor,graduate,year,tract,county,pop_over_25
621,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2015,360200.0,31.0,508.0
622,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2016,360200.0,31.0,508.0
623,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2017,360200.0,31.0,508.0
624,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2010,380100.0,31.0,1526.0
625,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2011,380100.0,31.0,1526.0
626,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2012,380100.0,31.0,1526.0
627,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2013,380100.0,31.0,1526.0
628,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2014,380100.0,31.0,1526.0
629,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2015,380100.0,31.0,1526.0
630,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2016,380100.0,31.0,1526.0
631,78.0,0.08584534731323723,0.1310615989515072,0.24311926605504586,0.2608125819134994,0.004587155963302753,0.11795543905635647,0.15661861074705113,2017,380100.0,31.0,1526.0
632,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2010,380200.0,31.0,1356.0
633,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2011,380200.0,31.0,1356.0
634,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2012,380200.0,31.0,1356.0
635,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2013,380200.0,31.0,1356.0
636,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2014,380200.0,31.0,1356.0
637,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2015,380200.0,31.0,1356.0
638,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2016,380200.0,31.0,1356.0
639,79.0,0.13348082595870206,0.14380530973451328,0.2610619469026549,0.2330383480825959,0.08112094395280238,0.08480825958702065,0.06268436578171091,2017,380200.0,31.0,1356.0
640,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2010,380500.0,31.0,86.0
641,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2011,380500.0,31.0,86.0
642,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2012,380500.0,31.0,86.0
643,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2013,380500.0,31.0,86.0
644,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2014,380500.0,31.0,86.0
645,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2015,380500.0,31.0,86.0
646,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2016,380500.0,31.0,86.0
647,80.0,0.0,0.0,0.11627906976744184,0.4069767441860465,0.4767441860465117,0.0,0.0,2017,380500.0,31.0,86.0
648,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2010,380700.0,31.0,939.0
649,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2011,380700.0,31.0,939.0
650,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2012,380700.0,31.0,939.0
651,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2013,380700.0,31.0,939.0
652,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2014,380700.0,31.0,939.0
653,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2015,380700.0,31.0,939.0
654,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2016,380700.0,31.0,939.0
655,81.0,0.06496272630457932,0.19808306709265175,0.288604898828541,0.27263045793397234,0.0,0.13312034078807242,0.04259850905218317,2017,380700.0,31.0,939.0
656,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2010,381200.0,31.0,1449.0
657,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2011,381200.0,31.0,1449.0
658,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2012,381200.0,31.0,1449.0
659,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2013,381200.0,31.0,1449.0
660,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2014,381200.0,31.0,1449.0
661,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2015,381200.0,31.0,1449.0
662,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2016,381200.0,31.0,1449.0
663,82.0,0.033816425120772944,0.13388543823326432,0.158040027605245,0.285024154589372,0.049689440993788817,0.17322291235334716,0.16632160110420982,2017,381200.0,31.0,1449.0
