"filing_year","tract","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,"17031031300",63,2.580,0,0,63,2,61,3170,1,3,19,26,14,1,62,59,4,4,0,39,24,37,22,2,2,2,2,0,0,23,8,32,23,8,28,0,0,4,9,54,9,50,0,4
2010,"17031031400",45,3.960,0,1,44,1,43,3125.100,1,4,11,22,6,2,42,38,6,6,0,26,18,22,16,4,2,4,2,0,0,9,5,30,9,5,24,0,0,6,16,28,14,24,2,4
2010,"17031031501",65,3.680,1,0,64,3,61,1311,3,29,15,17,0,0,64,62,2,1,1,34,30,33,29,1,1,1,0,0,1,17,12,35,17,12,33,0,0,2,10,54,10,52,0,2
2010,"17031031502",68,3.220,0,0,68,11,57,1700,11,10,32,11,4,2,66,63,5,1,4,45,23,44,19,1,4,1,0,0,4,36,6,26,36,6,21,0,0,5,3,65,3,60,0,5
2010,"17031031700",60,2.200,0,0,60,14,46,1967.310,14,8,22,14,2,6,54,44,16,5,11,35,25,29,15,6,10,4,1,2,9,20,6,34,20,6,18,0,0,16,9,51,9,35,0,16
2010,"17031031800",13,2.210,1,0,12,2,10,3107.910,2,1,2,4,3,0,12,10,2,1,1,9,3,8,2,1,1,1,0,0,1,3,0,9,3,0,7,0,0,2,3,9,3,7,0,2
2010,"17031031900",9,0.940,0,0,9,0,9,850,0,5,4,0,0,0,9,8,1,1,0,5,4,4,4,1,0,1,0,0,0,3,2,4,3,2,3,0,0,1,1,8,1,7,0,1
2010,"17031032100",49,1.450,1,0,48,3,45,1220,3,17,12,11,5,2,46,44,4,4,0,25,23,24,20,1,3,1,3,0,0,14,9,25,14,8,22,0,1,3,6,42,6,38,0,4
2010,"17031040100",14,1.520,0,0,14,1,13,2660,1,1,5,7,0,3,11,14,0,0,0,9,5,9,5,0,0,0,0,0,0,7,1,6,7,1,6,0,0,0,0,14,0,14,0,0
2010,"17031040201",15,0.850,1,1,13,3,10,2450.570,2,1,5,3,2,1,12,11,2,1,1,7,6,6,5,1,1,0,1,1,0,4,2,7,4,2,5,0,0,2,3,10,3,8,0,2
